State Name,State Abbrevations,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Georgia,GA,9331,10526,10551,11066,10191,10775,10126,9301,10257,9278,10089,9571,9454,10755,10704,11335,10396,10801,10301,9298,10392,9461,10164,9708,9294,10782,10600,11138,10202,10588,10125,9521,10768,9360,10081,9869,9283,10680,10924,11442,10240,11044,10353,9972,11462,10087,11421,10785,9808,9188,7104,9555,9740,10695,9706,9417,10555,9331,10446
Hawaii,HI,820,941,1037,761,981,1047,1067,1113,1176,839,773,870,728,843,923,702,868,939,991,1019,1087,773,796,892,740,853,945,715,891,980,1092,1115,1136,868,856,964,760,863,981,724,896,1011,1118,1142,1168,811,830,903,754,677,490,437,640,731,693,741,853,650,691
Idaho,ID,1232,1416,1461,1549,1622,1706,1715,1570,1508,1406,1234,1189,1188,1411,1443,1561,1617,1711,1729,1553,1538,1415,1358,1279,1247,1431,1441,1571,1637,1758,1731,1560,1602,1399,1369,1301,1255,1436,1508,1554,1630,1780,1714,1599,1584,1383,1372,1298,1275,1191,990,1244,1439,1615,1553,1504,1574,1304,1305
Illinois,IL,8347,8935,9602,9607,10765,9295,9452,9049,9814,8198,8078,7752,8468,8761,9314,9508,10603,9052,9374,8884,9514,7978,8435,7987,7896,8587,9379,9640,10250,9212,9369,8609,9757,7746,8332,7750,7883,8578,9705,9538,10221,9506,9371,8681,9751,7942,8390,8288,8179,6859,5805,6643,8713,8386,8072,7717,8492,6676,7257
Indiana,IN,5481,6412,7200,6983,6955,8139,7128,6956,8092,6732,6855,6286,5239,6122,6865,6822,6745,7840,6983,6786,7253,6441,7197,6316,5255,6132,7106,7292,6906,8394,7399,6871,7832,6673,7347,6338,5070,6079,7165,7046,6630,8223,7198,6879,7528,6381,7138,6630,5121,4909,4315,5335,6103,7555,6536,6584,6937,5865,6515
Iowa,IA,2130,2625,2776,2958,2999,2885,2921,2805,2933,2537,2584,2391,2338,2763,2908,3147,3202,3051,3078,2962,3077,2674,2634,2397,2170,2659,2750,3100,3068,3126,3036,2870,3084,2534,2598,2296,2025,2653,2900,3073,3037,3162,3065,2884,3097,2533,2643,2352,2301,2304,2092,2438,2828,2912,2812,2817,2896,2238,2304
Kansas,KS,2417,2626,2704,2732,2827,2833,2857,2643,2699,2679,2747,2308,2457,2638,2689,2800,2891,2860,2946,2682,2720,2688,2912,2409,2286,2701,2732,2934,2915,2937,3026,2695,2783,2527,2929,2404,2192,2641,2883,2793,2820,2946,2897,2649,2783,2599,2842,2410,2466,2190,1801,2190,2610,2737,2689,2513,2594,2271,2564
Kentucky,KY,3341,4171,4490,4347,4514,3887,4396,4165,4344,4100,3999,3933,3497,4235,4507,4427,4600,3871,4555,4164,4370,4153,4069,3962,3093,3969,4433,4506,4443,3875,4443,4027,4373,4026,4028,4074,3000,3896,4535,4455,4366,3962,4416,4145,4451,4082,4235,4259,3125,3289,2961,3410,4010,3681,3976,3934,4075,3661,3685
Louisiana,LA,3499,4053,4159,4282,4520,4348,4705,3924,4056,3743,4151,3936,3426,4130,4038,4205,4325,4415,4410,3683,3730,3722,3929,3700,3281,4291,3920,4301,4383,4744,4746,3711,3808,3532,3955,3804,2971,3840,3986,4262,4449,4618,4950,3971,4182,3798,4156,3677,3327,3412,2672,3521,3950,4101,4227,3853,3788,3568,3932
Maine,ME,1068,1259,1199,1302,1367,1406,1334,1283,1314,1185,1166,1143,1015,1242,1189,1318,1392,1419,1366,1262,1322,1199,1191,1052,1015,1189,1161,1350,1337,1413,1355,1228,1311,1138,1217,1063,1060,1230,1178,1316,1284,1414,1337,1235,1294,1170,1152,1107,1008,1014,718,927,1065,1219,1166,1139,1170,1037,1107
Maryland,MD,3928,4865,4812,5150,5327,6155,5323,4390,5141,4792,4631,4315,4106,4790,4831,5279,5403,6255,5353,4460,5238,4838,4655,4599,3962,4572,4955,5525,5267,5985,5538,4467,5375,4761,4663,4554,3754,4758,5116,5538,5244,6026,5584,4604,5313,4928,4811,4379,3957,3766,2686,3606,4309,5512,4936,4333,4794,4221,4204
Massachusetts,MA,4465,5039,4363,5019,5192,5303,5177,4804,5070,4871,5051,4970,4452,4949,4492,5219,5321,5457,5418,4963,5388,4998,5263,4616,4338,4830,4708,5524,5419,5733,5568,5250,5697,4943,5445,4696,4521,5109,4865,5553,5461,5860,5587,5396,5993,5525,5710,5211,4809,4173,2673,3691,4404,5197,5035,4921,5122,4340,4742
Michigan,MI,7580,8857,8958,8595,9143,9221,9041,8881,9248,8098,8148,8799,7872,8811,9037,8387,8644,9257,8827,8890,8974,7367,8833,8300,7491,8480,8488,8684,8035,8681,8605,8577,8699,7201,9380,8153,7321,8285,8481,8863,8313,8946,8751,8383,9233,7580,9062,8384,8046,6896,3945,5640,6981,8256,7557,7796,8098,6438,7509
Minnesota,MN,4189,4942,4974,5390,5514,5193,5363,5051,5137,4951,4394,4223,4100,4776,4823,5259,5423,5037,5227,4844,4901,4894,4679,4349,4032,4677,4657,5323,5436,5327,5230,4862,5114,5059,4682,4319,3839,4678,4928,5390,5353,5443,5246,4989,5266,5036,4723,4486,4186,4095,3332,4079,4656,4851,4469,4540,4391,4145,4175
Mississippi,MS,3095,3613,3688,3696,3802,3934,3597,3434,3525,3419,2994,3348,3011,3571,3605,3620,3713,3832,3538,3374,3446,3363,3039,2986,2867,3524,3545,3653,3719,3787,3599,3230,3451,3211,3050,3150,2860,3458,3553,3682,3670,3792,3559,3280,3368,3284,3084,2664,2903,2820,2315,2942,3344,3543,3236,3270,3306,3176,2927
